,Madrid,Castilla y Leon,Castilla La Mancha,Cataluna,C. Valenciana,Aragon,Pais Vasco,Navarra,La Rioja,Cantabria,Asturias,Galicia,Murcia,Andalucia,Extremadura,Canarias,Baleares
beta,"[1.5926125921803185, 1.5926104817133893, 1.592610464607773, 1.6320779843095314, 1.632078202588266, 1.6320782024246052, 1.632078202601146, 1.632078202601146]","[1.5025136789265867, 1.5025487191601008, 1.5025271901622101, 1.4728566901911044, 1.5096179707952897, 1.5096183775435401, 1.5096183773137857, 1.5096183770730272]","[1.5842748077004645, 1.582227353645985, 1.611266076826773, 1.655351095144668, 1.7021070569999854, 1.7517750349618106, 1.7517750774294583, 1.7517750774294583]","[1.451681439521225, 1.4516824023550472, 1.4516823846599824, 1.4516823846599824, 1.4516823846599824, 1.4516823846599824, 1.4516823846599824, 1.4516823846599824]","[1.5573008522750307, 1.6029391562062583, 1.6029392641563214, 1.6029392641563214, 1.6029392641563214, 1.6029392641563214, 1.6029392641563214, 1.6029392641563214]","[1.2267633249408507, 1.2267633249408507, 1.2267633249408507, 1.2267633249408507, 1.2267633249408507, 1.2267633249408507, 1.2267633249408507, 1.2267633249408507]","[1.3140537403172405, 1.3140531272503204, 1.3140531275640226, 1.314053127282492, 1.3140531286202606, 1.314053129899003, 1.314053129919628, 1.3140531296040772]","[1.1576551046684123, 1.1576581968598008, 1.1576582032952336, 1.157658203257963, 1.157658203257963, 1.157658203257963, 1.157658203257963, 1.157658203257963]","[1.1829414077854532, 1.1829414358767645, 1.182941436633461, 1.182941436633461, 1.182941436633461, 1.182941436633461, 1.182941436633461, 1.182941436633461]","[1.136214528191274, 1.1362223258082567, 1.1417438939747226, 1.1417436881223169, 1.1417436858002545, 1.1417436863239838, 1.1417436863239838, 1.1417436863239838]","[1.3437945718035156, 1.3758281549395255, 1.3758280886975203, 1.3758280835398666, 1.3758280835398666, 1.3758280835398666, 1.3758280835398666, 1.3758280835398666]","[1.390661139897838, 1.3308701473741058, 1.3308696963923052, 1.3308696972550385, 1.3308696972576675, 1.3308696972576675, 1.3308696972576675, 1.3308696972576675]","[1.3778797415801365, 1.3780218669423254, 1.3780218467166532, 1.3780218467166532, 1.3780218467166532, 1.3780218467166532, 1.3780218467166532, 1.3780218467166532]","[1.6102983227533252, 1.6106834590536812, 1.610683191080406, 1.6106831811243416, 1.6106831811243416, 1.6106831811243416, 1.6106831811243416, 1.6106831811243416]","[1.2564820179196272, 1.2488059590298306, 1.247788835599891, 1.2477888134387611, 1.2477888129386474, 1.2477888129386474, 1.2477888129386474, 1.2477888129386474]","[1.6278341209871492, 1.627694737303813, 1.6276650588797248, 1.5132232140986221, 1.5183422530805577, 1.5098976406293305, 1.465276761576123, 1.423610963497797]","[1.438324977956532, 1.4384741584569507, 1.3948984353112093, 1.3632305479366449, 1.3632311547872116, 1.3632311953940786, 1.3632311873920204, 1.3632311943899604]"
chi2,"[506.29247809497997, 506.2924765485613, 506.29247654846944, 485.797352120696, 485.79735192191447, 485.7973519219119, 485.7973519219102, 485.7973519219102]","[279.90402129177113, 251.97062525586074, 251.86036646641574, 193.38254801672375, 184.43414947266194, 184.43414945117988, 184.43414945117914, 184.43414945117897]","[457.46237066572564, 451.59123435410623, 413.55865279665306, 402.98149317164786, 394.5912484722817, 388.3440042629078, 388.3440042627598, 388.3440042627598]","[774.1243961105012, 774.1243958254869, 774.124395825356, 774.124395825356, 774.124395825356, 774.124395825356, 774.124395825356, 774.124395825356]","[331.120611133681, 326.8997279683751, 326.8997279658209, 326.8997279658209, 326.8997279658209, 326.8997279658209, 326.8997279658209, 326.8997279658209]","[186.49055493859342, 186.49055493859342, 186.49055493859342, 186.49055493859342, 186.49055493859342, 186.49055493859342, 186.49055493859342, 186.49055493859342]","[242.44066558178244, 242.44066553939612, 242.44066553938796, 242.44066553938762, 242.440665539387, 242.44066553938674, 242.44066553938669, 242.44066553938646]","[171.50108772432128, 171.5010845955955, 171.50108459559053, 171.50108459559024, 171.50108459559024, 171.50108459559024, 171.50108459559024, 171.50108459559024]","[98.51535513693536, 98.51535513684018, 98.5153551368401, 98.5153551368401, 98.5153551368401, 98.5153551368401, 98.5153551368401, 98.5153551368401]","[105.68403023026448, 105.6813354539496, 105.44740103458545, 105.44740074946117, 105.44740074945888, 105.44740074945862, 105.44740074945862, 105.44740074945862]","[179.2660854439945, 177.41525562697888, 177.41525562693394, 177.41525562693374, 177.41525562693374, 177.41525562693374, 177.41525562693374, 177.41525562693374]","[238.73522408785172, 223.0253093345962, 223.0253093316421, 223.02530933164198, 223.0253093316419, 223.0253093316419, 223.0253093316419, 223.0253093316419]","[205.04569519234548, 205.04565208432635, 205.0456520843237, 205.0456520843237, 205.0456520843237, 205.0456520843237, 205.0456520843237, 205.0456520843237]","[497.4142588403156, 437.11153601509693, 437.1115360124941, 437.1115360124908, 437.1115360124908, 437.1115360124908, 437.1115360124908, 437.1115360124908]","[235.75918604540723, 233.95663264059695, 233.94012117237332, 233.94012117236366, 233.9401211723636, 233.9401211723636, 233.9401211723636, 233.9401211723636]","[388.32390861416997, 288.62694564472065, 288.5858916351293, 231.23174317760098, 227.03998343422717, 226.3297712912744, 225.41702729699037, 224.5351449396777]","[329.94526037267315, 200.54016523277832, 175.81666667673693, 174.1858607941406, 174.18586079137503, 174.18586079137023, 174.18586079137015, 174.1858607913701]"
gamma,"[0.2260439488917767, 0.2260460226589116, 0.22604602838786256, 0.22483021699863642, 0.2248293381801384, 0.2248293387606649, 0.22482933871086885, 0.22482933871086885]","[0.18466193978445236, 0.1595429210299934, 0.15873092996350685, 0.1940497349296121, 0.19257144377043087, 0.19257150845696552, 0.1925715082297846, 0.19257150749318339]","[0.20882313884966847, 0.21947613661107976, 0.238440693811469, 0.23648198930252645, 0.23455256700323146, 0.2326582673996293, 0.2326582240697492, 0.2326582240697492]","[0.22154706600905666, 0.22154623039812277, 0.22154623171539836, 0.22154623171539836, 0.22154623171539836, 0.22154623171539836, 0.22154623171539836, 0.22154623171539836]","[0.20137136580825798, 0.2001948383970577, 0.20019461896342589, 0.20019461896342589, 0.20019461896342589, 0.20019461896342589, 0.20019461896342589, 0.20019461896342589]","[0.21143432624299846, 0.21143432624299846, 0.21143432624299846, 0.21143432624299846, 0.21143432624299846, 0.21143432624299846, 0.21143432624299846, 0.21143432624299846]","[0.21487541228662557, 0.21487525985988415, 0.21487525038741861, 0.21487524974333086, 0.21487525005359806, 0.21487525051846496, 0.2148752504049845, 0.21487525026304677]","[0.14801552425614434, 0.14802718501849982, 0.1480271603214976, 0.14802715967156854, 0.14802715967156854, 0.14802715967156854, 0.14802715967156854, 0.14802715967156854]","[0.2173671401631739, 0.2173670371421513, 0.21736703643396452, 0.21736703643396452, 0.21736703643396452, 0.21736703643396452, 0.21736703643396452, 0.21736703643396452]","[0.19838126594739114, 0.19890119910171994, 0.19466657147372068, 0.19466092862573336, 0.19466090907989017, 0.19466091181997164, 0.19466091181997164, 0.19466091181997164]","[0.258642072563414, 0.2633768430569814, 0.2633768912704245, 0.26337689398031316, 0.26337689398031316, 0.26337689398031316, 0.26337689398031316, 0.26337689398031316]","[0.13374695722005192, 0.17770239982281263, 0.17770265629465454, 0.17770265569623234, 0.17770265569793225, 0.17770265569793225, 0.17770265569793225, 0.17770265569793225]","[0.238902094383854, 0.2388059589730169, 0.2388059597524091, 0.2388059597524091, 0.2388059597524091, 0.2388059597524091, 0.2388059597524091, 0.2388059597524091]","[0.15988361058230227, 0.19511718700195657, 0.19511737698326906, 0.19511738392089684, 0.19511738392089684, 0.19511738392089684, 0.19511738392089684, 0.19511738392089684]","[0.1819007552937641, 0.194170147503401, 0.19497616170633558, 0.19497618411441847, 0.19497618385964655, 0.19497618385964655, 0.19497618385964655, 0.19497618385964655]","[-0.42706306150704826, -0.914390841574773, -0.9144514869290612, -0.8397905146050058, -0.7874973867749135, -0.6994776137125993, -0.6973387723464541, -0.6951209223484449]","[-1.1934693551651825, 0.22755710702387513, 0.23803005678365102, 0.23070259675402585, 0.23070264725379108, 0.2307026337486693, 0.23070263615584452, 0.2307026319382996]"
n,"[6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0]","[2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0]","[2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0]","[7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0]","[4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0]","[1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0]","[2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0]","[647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0]","[315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0]","[580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0]","[1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0]","[2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0]","[1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0]","[8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0]","[1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0]","[2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0]","[1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0]"
phi,"[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]","[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]"
s1,"[0.11874122415646535, 0.12079785752947869, 0.12226966571235173, 0.12442412013524837, 0.12559599040703429, 0.12677348282138445, 0.1275659621934724, 0.1275659621934724]","[0.13494917397590536, 0.13495866449582794, 0.13496043835079302, 0.10648278370883149, 0.11054730460910384, 0.11055594011045362, 0.11055738668271954, 0.11055825014747576]","[0.16280897324277, 0.16464461999090313, 0.16040873492379992, 0.16617133858568164, 0.1652642437256242, 0.16887459990139292, 0.17089575891488662, 0.17089575891488662]","[0.10070548650954318, 0.10076972987040242, 0.10074812496674328, 0.10074812496674328, 0.10074812496674328, 0.10074812496674328, 0.10074812496674328, 0.10074812496674328]","[0.021015168911849028, 0.0215562548991396, 0.021555920052566666, 0.021555920052566666, 0.021555920052566666, 0.021555920052566666, 0.021555920052566666, 0.021555920052566666]","[0.05348444229812012, 0.05348444229812012, 0.05348444229812012, 0.05348444229812012, 0.05348444229812012, 0.05348444229812012, 0.05348444229812012, 0.05348444229812012]","[0.04765167318845087, 0.04807704833748627, 0.04837610769931109, 0.048527190502213505, 0.048830526742860404, 0.04883429869453616, 0.04883444999195695, 0.04883453240426479]","[0.07901954319428353, 0.07949305701151907, 0.07966812261470965, 0.07991720655854494, 0.07991720655854494, 0.07991720655854494, 0.07991720655854494, 0.07991720655854494]","[0.0682633968404958, 0.06824728695060597, 0.06824737512884466, 0.06824737512884466, 0.06824737512884466, 0.06824737512884466, 0.06824737512884466, 0.06824737512884466]","[0.022315861923250482, 0.024053929984181027, 0.024468506491899387, 0.024689773691783587, 0.024841784817444833, 0.024890310912426314, 0.024890310912426314, 0.024890310912426314]","[0.017013628920661543, 0.016782035291123633, 0.016873378454801698, 0.01692612895260213, 0.01692612895260213, 0.01692612895260213, 0.01692612895260213, 0.01692612895260213]","[0.01884217366239744, 0.015950709601878228, 0.0159507363537563, 0.015950549085135927, 0.015950512112722137, 0.015950512112722137, 0.015950512112722137, 0.015950512112722137]","[0.006411957298595575, 0.006411442084095108, 0.0064114435895643055, 0.0064114435895643055, 0.0064114435895643055, 0.0064114435895643055, 0.0064114435895643055, 0.0064114435895643055]","[0.01799855605681875, 0.012936163987278551, 0.013113021483415055, 0.013195679450283035, 0.013195679450283035, 0.013195679450283035, 0.013195679450283035, 0.013195679450283035]","[0.044259011263715745, 0.040772411190998975, 0.04012934095928129, 0.040135845228138026, 0.040135891595337564, 0.040135891595337564, 0.040135891595337564, 0.040135891595337564]","[0.027116393758486856, 0.027093138758708907, 0.02709318702747367, 0.011701653753484906, 0.012042374837510054, 0.012797597395513005, 0.012859458680424775, 0.012959389766832741]","[0.011590364831743007, 0.011599486835163573, 0.00850557653337342, 0.00906888747124189, 0.00912444096167887, 0.009181047744232763, 0.009238408824173828, 0.00929614738747642]"
t0,"[42.14323096459379, 42.143980087786915, 42.1440349394634, 41.66968942721133, 41.66295309279978, 41.66293308323837, 41.66283771348462, 41.66283771348462]","[35.00390173374994, 34.00000830102033, 34.99999630030637, 35.95145077577736, 34.711680501336886, 34.718385500744375, 34.71868169994504, 34.71885885860823]","[35.000016536441876, 35.3585394551458, 35.806327740706934, 34.87415851714112, 33.73853501763949, 32.67131652115771, 32.671047912586204, 32.671047912586204]","[40.67905212860016, 40.6770168198901, 40.68639668725076, 40.68639668725076, 40.68639668725076, 40.68639668725076, 40.68639668725076, 40.68639668725076]","[30.564676801053373, 29.543593090199764, 29.54464850913827, 29.54464850913827, 29.54464850913827, 29.54464850913827, 29.54464850913827, 29.54464850913827]","[35.999999938100856, 35.999999938100856, 35.999999938100856, 35.999999938100856, 35.999999938100856, 35.999999938100856, 35.999999938100856, 35.999999938100856]","[36.699324866173335, 36.6980926659587, 36.69782433034726, 36.69796483916389, 36.69790228378233, 36.6962535091815, 36.6961875277574, 36.696150945806664]","[36.96871785423397, 36.96554265028207, 36.96517619667114, 36.96506401839496, 36.96506401839496, 36.96506401839496, 36.96506401839496, 36.96506401839496]","[32.67547566950054, 32.685299928286824, 32.685246424378576, 32.685246424378576, 32.685246424378576, 32.685246424378576, 32.685246424378576, 32.685246424378576]","[27.99998698353089, 27.99999874322523, 27.95773713576918, 27.953253033462214, 27.953185488236826, 27.953169364444605, 27.953169364444605, 27.953169364444605]","[30.180245660145175, 30.815910378788345, 30.815715326280078, 30.815637726012664, 30.815637726012664, 30.815637726012664, 30.815637726012664, 30.815637726012664]","[27.994928685875482, 28.04171207433841, 28.560121137154653, 28.560604354263404, 28.56069976454439, 28.56069976454439, 28.56069976454439, 28.56069976454439]","[25.367359091975956, 25.523707265854846, 25.78266817985135, 25.78266817985135, 25.78266817985135, 25.78266817985135, 25.78266817985135, 25.78266817985135]","[30.000016802993613, 30.984631307120672, 30.98399917345534, 30.98387996882203, 30.98387996882203, 30.98387996882203, 30.98387996882203, 30.98387996882203]","[34.99999930307039, 34.000007378121694, 34.47625936346566, 34.47473731374623, 34.474723826044425, 34.474723826044425, 34.474723826044425, 34.474723826044425]","[22.999997934155832, 19.000020117683952, 19.99676913670857, 18.106788291634338, 19.000004607133853, 19.70397581445524, 20.768010004248254, 21.485551708356013]","[26.999946572007257, 26.97726500792117, 23.998253462752174, 23.68448568735861, 23.68489773617953, 23.685039727951636, 23.685145227903757, 23.685153188824536]"
ti,"[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]"
tm,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
tr,"[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]"
