,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,10.7,24.8,16.0,7.3,0
1,2020-02-28,0.0,9.9,24.9,17.6,10.4,0
2,2020-02-29,0.0,8.7,26.7,17.2,7.7,0
3,2020-03-01,0.0,6.5,23.4,18.6,13.7,0
4,2020-03-02,0.0,7.8,26.2,19.6,12.9,0
5,2020-03-03,0.0,9.4,24.6,16.0,7.5,0
6,2020-03-04,0.0,10.8,27.1,19.0,10.8,0
7,2020-03-05,0.0,8.3,26.8,18.2,9.6,0
8,2020-03-06,0.0,8.4,19.9,14.8,9.7,0
9,2020-03-07,0.0,11.0,20.9,15.0,9.0,0
10,2020-03-08,0.0,11.1,25.4,16.0,6.5,1
11,2020-03-09,0.0,10.6,25.6,19.2,12.9,4
12,2020-03-10,0.0,10.9,25.7,19.3,12.9,9
13,2020-03-11,0.0,11.3,31.9,21.2,10.6,11
14,2020-03-12,0.0,11.0,28.5,19.7,10.9,26
15,2020-03-13,0.0,8.2,24.9,17.8,10.7,35
16,2020-03-14,0.0,9.9,23.7,17.1,10.5,47
17,2020-03-15,0.4,8.7,21.0,17.1,13.2,71
18,2020-03-16,6.0,0.3,17.0,12.2,7.4,77
19,2020-03-17,0.2,1.5,17.3,12.4,7.4,97
20,2020-03-18,0.0,8.6,20.2,15.6,11.0,122
21,2020-03-19,0.0,4.7,18.9,15.4,11.9,167
22,2020-03-20,0.0,1.6,17.5,13.6,9.8,204
23,2020-03-21,16.8,1.4,16.8,13.1,9.4,240
